x
COL1A1,100
IFI6,99.6856011706395
SERPINE1,86.256334325675
ANGPTL4,82.9591882457781
ISG15,58.0438574143433
HTRA1,51.6489798892838
APOE,46.4765200161784
THBS2,39.9764093349844
IGKC,39.2983851207639
MT1A,33.2264735239641
FOLR2,32.8565200618432
GAA,28.2573234031691
TSPY1,27.7218873774038
COL1A2,27.2488915531294
IGHG4,27.2130404824774
ID1,26.6841671639886
EEF2KMT,26.4706751790713
CD55,26.1296299296297
CCL21,26.0019214596436
IGHA1,24.6607120135879
MT1M,24.6253256302222
CDH11,24.601910423387
ADAMTS4,24.1622801645467
IL1RL1,23.8380796946564
ITM2C,23.5740996422046
LRRC75B,22.820929161519
KRT19,22.597049876328
TNFAIP3,22.1734312159294
SPP1,22.0041785420732
PRIMA1,20.9217818839947
CALML3,20.598599425015
RARRES2,20.0465187732597
CEACAM1,19.9936468884243
C1QTNF5,19.7289617386671
MZB1,19.4357476378321
CGB2,19.0364897275006
ISLR,18.9239108532755
DELE1,18.6715141797379
MAF,18.541316190003
BAGE5,18.2010819618817
TTC19,17.6682060460513
SMAD6,17.4274812393573
CCDC13,17.3696635273546
KRT6A,17.0504064454369
HERPUD1,16.723768882624
ZNF616,16.5278211986205
GPR1,16.4854806012667
DKK1,16.4820573618038
MFAP2,16.1936405232445
IGLL5,16.1767165519351
ATXN1L,16.0974322623827
MAGEA4,15.8126452236081
MAPKBP1,15.5273765592213
IFIT3,15.4308884488499
ANGPTL2,15.1299677855439
SOX18,14.9595738107457
SFRP4,14.462648833736
OR8G1,14.2911187591041
SLC44A1,13.7700061405828
DRD4,13.7555391893043
ZNF28,13.6725401489273
NID2,13.6676288909487
TNC,13.5264441781924
PTGIS,13.4739982570861
BCL2L2,13.3387057230467
SELENOP,13.2681494898436
NR4A1,13.2289861883691
CCDC80,13.1107023657503
MRC1,13.0066883968572
SUSD2,12.8940418303591
H1.7,12.8253929243622
SIRT7,12.8076394387228
CYBRD1,12.766016325697
SMPDL3A,12.6741068061386
DHCR24,12.6664191286361
CREB3L1,12.6448526213947
SPON1,12.6127094952796
HSPH1,12.5907502746001
MYO1C,12.3657027536918
ALDH1A1,12.3466718040272
BTBD6,12.1480302786707
HMGCS1,12.0888012279892
FBXO32,12.0041836275597
PTK7,11.8951990710034
JCHAIN,11.7642484255567
CCL20,11.7060764490047
DPYSL3,11.5725001196074
MS4A7,11.5022912310163
AGR2,11.4692678098848
CTAGE9,11.427605520358
PRR32,11.3985693458214
RGS7BP,11.3828286545688
ATP6V0B,11.3649936088821
ALCAM,11.3435406020419
COL11A1,11.2230053678621
APLP1,11.1547464916847
RTP2,10.9311076508875
VEGFA,10.8862831279057
S100A2,10.8759013328125
ADA2,10.83465872686
LIPA,10.5866306053189
NUAK1,10.5664848236513
IER3,10.5409861307693
ZNF771,10.4836415926779
DEFA1B,10.4789737318421
GALNT2,10.4775009159472
NR2F1,10.4492216818151
CCR1,10.4436451655344
PHAX,10.3909508016982
COL14A1,10.3224074427429
FGD3,10.296835231179
RDH13,10.280653911001
SYNGR4,10.0495179095045
FKBP9,10.0020857201072
FLVCR1,9.8048378197207
COA4,9.58774741013518
S100A8,9.53533932885788
IGSF9B,9.51503016073966
SPARC,9.49459000759717
AGER,9.46074430361617
HSPA1A,9.39531614161035
HSP90AA1,9.39018494722788
GLIS2,9.22609044840852
FGFR1,9.19895359692611
FKBP4,9.12776330920274
SLC25A47,9.12509639607639
TTC33,9.11284280225768
KRTAP9.6,9.10638457002635
LUM,9.0473798779916
CES1,9.03484169557288
ITGA6,9.01062628302864
PARM1,8.98754958079335
RPL39,8.96470032474904
ABHD16A,8.94700742485978
HCFC2,8.94309060791938
PLSCR4,8.91808599129903
KANSL2,8.87130352666034
BASP1,8.86258173896911
NDUFA3,8.75293404962956
SNRPC,8.74806386707771
ELN,8.41452225543063
MXRA5,8.41186350992113
SMARCB1,8.38257518775048
EDIL3,8.37932589429231
HSD11B1,8.35673565414921
TPI1,8.32415834982495
FCGR2B,8.31338125093415
CLEC10A,8.29736926151398
CAV2,8.291859686943
NRBP1,8.24367665602206
HSPA6,8.19169031956463
EBI3,8.16535026122301
CD300E,8.15954771926106
SEL1L,8.13190284494937
LYRM2,8.1188991717843
MXRA7,8.09223949439234
MPO,8.05798734586548
ATP5MG,8.05200903385647
CCDC137,8.04073552502293
MX1,8.02616779028483
SCN9A,7.98541267581092
SNHG32,7.96090099712091
CLEC17A,7.87378421668096
HPGDS,7.80614314490545
TAS2R60,7.79994802369014
CXCL11,7.77548120179614
FBRS,7.72290817163934
IP6K2,7.63828964789844
TGFBR3L,7.62728863566784
TTC31,7.58159553118781
CKAP4,7.57960115101438
AQP2,7.57560092194491
STRBP,7.56774909312454
TM4SF4,7.55761576805263
CXCL1,7.55595025548894
TMEM221,7.50066444986374
HSPB1,7.48810808017008
GOLGA6L6,7.48791384129704
SOX3,7.46662392057949
RFX2,7.41870193335802
HSPB6,7.4109206150444
CAVIN1,7.41014705695692
MKRN3,7.40083999355743
OR4Q3,7.36961912483786
UBALD1,7.35016609766299
SFTPD,7.34134712832817
TRAF3IP3,7.32107390412024
CELF4,7.3195861007087
HSD17B11,7.28842856747176
CYP2W1,7.24461483864676
BIRC5,7.2438287904829
IGHM,7.22620138829804
NEK4,7.21952340290741
NTN5,7.21549400944369
C5orf38,7.19456171837808
MALRD1,7.15120788156193
KRTDAP,7.1175151407269
CPLX2,7.11112299458493
MTA2,7.0753079332113
PLEC,7.00558261650665
CBX4,6.9792435992106
PFKFB3,6.97490148532392
