"","IFI6","COL1A1","ISG15","IGKC","CDH11","IGHA1","LRRC75B","IL1RL1","ADAMTS4","THBS2"
"EDAD",44.4259259259259,100.425925925926,57.4259259259259,252.712962962963,19.9166666666667,289.777777777778,2.99074074074074,16.6018518518519,10.6851851851852,10.4166666666667
"PRES",14.1904761904762,135.190476190476,23.7142857142857,274.619047619048,25.3333333333333,141.428571428571,5.61904761904762,13.1428571428571,1.38095238095238,10.1428571428571
"MDAD",18.7083333333333,779.958333333333,18.6666666666667,795.708333333333,77.2083333333333,605.541666666667,23.875,0.5,3.375,37.0833333333333
"ODAD",4.84615384615385,913.461538461538,3.55769230769231,1831.21153846154,82.9423076923077,1336.96153846154,17.8461538461538,0.192307692307692,0.730769230769231,42.1346153846154
