"","MXRA8","GPNMB","KCNJ4","CXCR4","FOLR2","CCR1","ITM2C","LRP1","PTK7","GPR1"
"EDAD",67.1018518518518,41.6759259259259,5.06481481481481,36.0185185185185,2.0462962962963,5.01851851851852,2.48148148148148,71.8703703703704,1.61111111111111,2.16666666666667
"PRES",45.6666666666667,43.1428571428571,1.76190476190476,28.047619047619,2.14285714285714,3.33333333333333,4.47619047619048,51.0952380952381,2.61904761904762,0.80952380952381
"MDAD",132.416666666667,87.1666666666667,9.33333333333333,82.875,8.54166666666667,15.9166666666667,9.125,124,8.5,8.375
"ODAD",155.826923076923,111.115384615385,11.8461538461538,69.7307692307692,9.03846153846154,17.7307692307692,10.2115384615385,131.692307692308,9.92307692307692,9.84615384615385
