"","CCL2","CCL21","CCL18","SPP1","SCGB3A1","IL1RL1","CCL13","CCL14","IL1R2","BMP15"
"EDAD",42.4351851851852,38.1481481481481,45.8888888888889,105.694444444444,25.2407407407407,16.6018518518519,4.60185185185185,4.37962962962963,10.0833333333333,3.38888888888889
"PRES",15.2857142857143,14,47.3333333333333,19.1904761904762,19.4285714285714,13.1428571428571,3.33333333333333,3,5.14285714285714,1.0952380952381
"MDAD",21.7083333333333,62.5416666666667,102.666666666667,86.9583333333333,37.5833333333333,0.5,6.25,8.58333333333333,6.08333333333333,5.75
"ODAD",13.4807692307692,81.0961538461538,82.75,75.8846153846154,146.288461538462,0.192307692307692,1.38461538461538,8.71153846153846,2.23076923076923,9.59615384615385
