,cell_type,gene,avg_logFC,p_val,p_val_adj,de_family,de_method,de_type
1224,cell,ATP2C2,0.977571411139208,0.0590894640800008,0.156731610355543,pseudobulk,edgeR,QLF
1225,cell,ATP4A,1.4120001821017,0.0217681967425313,0.0811878435596268,pseudobulk,edgeR,QLF
1226,cell,ATP4B,1.11907330452279,0.0239746798279477,0.0867460190399381,pseudobulk,edgeR,QLF
1227,cell,ATP5F1A,-0.0831403946535928,0.819563012113958,0.893999023448713,pseudobulk,edgeR,QLF
1228,cell,ATP5F1B,-0.0881440773779498,0.801745040819001,0.880700592912592,pseudobulk,edgeR,QLF
1229,cell,ATP5F1C,0.111977311554349,0.539912443296164,0.682649599536338,pseudobulk,edgeR,QLF
1230,cell,ATP5F1D,-0.248942341766906,0.57461339343959,0.711996878657758,pseudobulk,edgeR,QLF
1231,cell,ATP5F1E,-0.275064169927735,0.571382401629541,0.709440228669482,pseudobulk,edgeR,QLF
1232,cell,ATP5IF1,-0.514900350158047,0.221068221599491,0.377735843649112,pseudobulk,edgeR,QLF
1233,cell,ATP5MC1,-1.01039158236333,0.060022839914953,0.158550103713794,pseudobulk,edgeR,QLF
1234,cell,ATP5MC2,0.523010940248602,0.0184981411595553,0.0721814495623486,pseudobulk,edgeR,QLF
1235,cell,ATP5MC3,-0.633648377933143,0.0904364435802217,0.208139006166621,pseudobulk,edgeR,QLF
1236,cell,ATP5ME,-0.58967568843279,0.0302872755400096,0.100950368722705,pseudobulk,edgeR,QLF
1237,cell,ATP5MF,-0.194352889573487,0.534400833777096,0.677932690716887,pseudobulk,edgeR,QLF
1238,cell,ATP5MG,-0.308939951663279,0.0892846505633288,0.206486311354565,pseudobulk,edgeR,QLF
1239,cell,ATP5MGL,0.708407559084921,0.0508477821258387,0.1423393939358,pseudobulk,edgeR,QLF
1240,cell,ATP5MJ,-0.185348644325789,0.515021453468106,0.66241705655081,pseudobulk,edgeR,QLF
1241,cell,ATP5MK,0.828324609117002,0.0915393221310116,0.209830580851374,pseudobulk,edgeR,QLF
1242,cell,ATP5PB,0.0755756973581055,0.815844605586162,0.891282811414688,pseudobulk,edgeR,QLF
1243,cell,ATP5PD,-0.548702398221201,0.244883780011495,0.40438886806325,pseudobulk,edgeR,QLF
1244,cell,ATP5PF,-0.583194239132843,0.203713742156932,0.35780632589404,pseudobulk,edgeR,QLF
1245,cell,ATP5PO,0.277144475135314,0.545900004274496,0.687789315114871,pseudobulk,edgeR,QLF
1246,cell,ATP6AP1,-0.00343910667498533,0.991302660931112,0.995036983730874,pseudobulk,edgeR,QLF
1247,cell,ATP6AP1L,-1.43959327617543,4.74066778873445e-06,0.00015431576892753,pseudobulk,edgeR,QLF
1248,cell,ATP6AP2,-0.606686490393153,0.000935370020730594,0.00872326081333352,pseudobulk,edgeR,QLF
1249,cell,ATP6V0A1,-0.571423573723785,0.167748553059315,0.314741576467392,pseudobulk,edgeR,QLF
1250,cell,ATP6V0A2,2.07673794264497,2.42151797085395e-06,9.14294599035788e-05,pseudobulk,edgeR,QLF
1251,cell,ATP6V0A4,0.469345548601941,0.180586977548336,0.330299589407488,pseudobulk,edgeR,QLF
1252,cell,ATP6V0B,-1.96422445991965,8.63577657963133e-05,0.0014229196533859,pseudobulk,edgeR,QLF
1253,cell,ATP6V0C,0.128998019813331,0.609450302643049,0.740503357755074,pseudobulk,edgeR,QLF
1254,cell,ATP6V0D1,0.078274286281334,0.866253570951151,0.923752878930928,pseudobulk,edgeR,QLF
1255,cell,ATP6V0D2,0.549623954476338,0.28466332305051,0.446377577521783,pseudobulk,edgeR,QLF
1256,cell,ATP6V0E1,-0.494670369973464,0.089584257169126,0.206892405116689,pseudobulk,edgeR,QLF
1257,cell,ATP6V0E2,0.398506296399996,0.290511616125488,0.452117034958081,pseudobulk,edgeR,QLF
1258,cell,ATP6V1A,1.98514944424545,0.000763953916670565,0.00743310821791309,pseudobulk,edgeR,QLF
1259,cell,ATP6V1B1,3.20318935231988,5.80346053568359e-07,2.90204144535041e-05,pseudobulk,edgeR,QLF
1260,cell,ATP6V1B2,-0.10665642792049,0.67456793230247,0.790099681445168,pseudobulk,edgeR,QLF
1261,cell,ATP6V1C1,1.69023584765289,0.000299401669429991,0.00369830459483986,pseudobulk,edgeR,QLF
1262,cell,ATP6V1C2,0.858606293064116,0.0953090412478124,0.21574080550415,pseudobulk,edgeR,QLF
1263,cell,ATP6V1D,1.46210034677398,0.00888550659470032,0.0438793934350941,pseudobulk,edgeR,QLF
1264,cell,ATP6V1E1,2.1499918350541,0.000315015949884775,0.00383780372126115,pseudobulk,edgeR,QLF
1265,cell,ATP6V1E2,1.34787291500918,0.0172193863877148,0.0687154460641115,pseudobulk,edgeR,QLF
1266,cell,ATP6V1F,-0.262569789594694,0.444036663329816,0.600752735857118,pseudobulk,edgeR,QLF
1267,cell,ATP6V1FNB,0.541561663635584,0.20973452310015,0.364718866740754,pseudobulk,edgeR,QLF
1268,cell,ATP6V1G1,-0.424991283290158,0.306447595540521,0.469899749426323,pseudobulk,edgeR,QLF
1269,cell,ATP6V1G2,2.3098834072951,1.73476520524028e-05,0.000415363815658347,pseudobulk,edgeR,QLF
1270,cell,ATP6V1G3,2.54305361109623,2.64644701348542e-07,1.50952788560034e-05,pseudobulk,edgeR,QLF
1271,cell,ATP6V1H,0.21852963038093,0.62948554440889,0.755447456846907,pseudobulk,edgeR,QLF
1272,cell,ATP7A,1.59480507794974,0.00194110466450096,0.0148838466689288,pseudobulk,edgeR,QLF
1273,cell,ATP7B,0.778982142126865,0.0534984399548634,0.146666360604152,pseudobulk,edgeR,QLF
1274,cell,ATP8A1,0.164952782520434,0.397495207115028,0.558943209024006,pseudobulk,edgeR,QLF
1275,cell,ATP8A2,0.297604597608928,0.521195028131068,0.667215488311646,pseudobulk,edgeR,QLF
1276,cell,ATP8B1,2.48599069143094,7.03782553183041e-06,0.000209027900986785,pseudobulk,edgeR,QLF
1277,cell,ATP8B2,-0.666354258983361,0.1065138818588,0.231657757046449,pseudobulk,edgeR,QLF
1278,cell,ATP8B3,1.79534862993903,0.00209588373143913,0.0157694325771693,pseudobulk,edgeR,QLF
1279,cell,ATP8B4,0.896235559906605,0.305586382618819,0.468926152330044,pseudobulk,edgeR,QLF
1280,cell,ATP9A,-0.601037279665113,0.423558107746891,0.583542244312144,pseudobulk,edgeR,QLF
1281,cell,ATP9B,1.1803722632801,0.0223799992996774,0.0825605953220251,pseudobulk,edgeR,QLF
1282,cell,ATPAF1,0.654932210529145,0.0710052035057269,0.176986376558709,pseudobulk,edgeR,QLF
1283,cell,ATPAF2,0.396926045324838,0.333762006771104,0.498145871032618,pseudobulk,edgeR,QLF
1284,cell,ATPSCKMT,-0.400699799341307,0.295312764415311,0.457868068732218,pseudobulk,edgeR,QLF
1285,cell,ATR,0.618079632953155,0.0995426049306273,0.221665313654019,pseudobulk,edgeR,QLF
1286,cell,ATRAID,0.356028148954905,0.291805275162306,0.453751729247798,pseudobulk,edgeR,QLF
1287,cell,ATRN,0.44598188011368,0.310314344885573,0.473881051318626,pseudobulk,edgeR,QLF
1288,cell,ATRNL1,0.320984479397557,0.387613407681551,0.550297826377745,pseudobulk,edgeR,QLF
1289,cell,ATRX,-0.546903854740444,0.000311837633319996,0.0038117705970647,pseudobulk,edgeR,QLF
1290,cell,ATXN1,0.403905127891346,0.343750664063956,0.508134850950976,pseudobulk,edgeR,QLF
